Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
data.tree,C:/Users/pech/Documents/R/win-library/3.6,0.7.11,NA,R (>= 3.0),"R6, stringr, methods",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, treemap, party, partykit, doParallel,
foreach, htmlwidgets, DiagrammeR (>= 1.0.0), mockery, rpart",igraph,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
DBI,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,LGPL (>= 2),NA,NA,NA,NA,no,3.6.1
dbplyr,C:/Users/pech/Documents/R/win-library/3.6,1.4.2,NA,R (>= 3.1),"assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ddalpha,C:/Users/pech/Documents/R/win-library/3.6,1.3.9,NA,"R (>= 2.10), stats, utils, graphics, grDevices, MASS, class,
robustbase, sfsmisc, geometry",Rcpp (>= 0.11.0),"BH, Rcpp",NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
deldir,C:/Users/pech/Documents/R/win-library/3.6,0.1-23,NA,R (>= 0.99),"graphics, grDevices",NA,polyclip,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
dendextend,C:/Users/pech/Documents/R/win-library/3.6,1.12.0,NA,R (>= 3.0.0),"utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
profdpm, microbenchmark, gplots, heatmaply, d3heatmap,
dynamicTreeCut, pvclust, corrplot, DendSer, MASS, cluster, fpc,
circlize (>= 0.2.5), covr","ggdendro, dendroextras, Hmisc, data.table, rpart",GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
DEoptimR,C:/Users/pech/Documents/R/win-library/3.6,1.0-8,NA,NA,stats,NA,NA,robustbase,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
desc,C:/Users/pech/Documents/R/win-library/3.6,1.2.0,NA,R (>= 3.1.0),"assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
descr,C:/Users/pech/Documents/R/win-library/3.6,1.1.4,NA,NA,"xtable, utils, grDevices, graphics, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
deSolve,C:/Users/pech/Documents/R/win-library/3.6,1.24,NA,R (>= 2.15.0),"methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
devtools,C:/Users/pech/Documents/R/win-library/3.6,2.2.1,NA,"R (>= 3.0.2), usethis (>= 1.5.0)","callr, cli, covr (>= 3.2.0), crayon, desc, digest, DT,
ellipsis (>= 0.3.0), glue, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.3), pkgload (>=
1.0.2), rcmdcheck (>= 1.3.3), remotes (>= 2.1.0), rlang,
roxygen2 (>= 6.1.1), rstudioapi (>= 0.7), rversions,
sessioninfo (>= 1.1.1), stats, testthat (>= 2.1.1), tools,
utils, withr",NA,"BiocManager, bitops, curl (>= 0.9), evaluate, foghorn (>=
1.1.0), gmailr (> 0.7.0), knitr, lintr (>= 0.2.1), mockery,
pingr, MASS, pkgdown, Rcpp (>= 0.10.0), rhub (>= 1.0.2),
rmarkdown, spelling (>= 1.1), whisker",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
DiagrammeR,C:/Users/pech/Documents/R/win-library/3.6,1.0.1,NA,R (>= 3.2.0),"dplyr (>= 0.7.4), downloader (>= 0.4), glue (>= 1.2.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.0), igraph (>= 1.1.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.4),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.0),
rstudioapi (>= 0.7), rgexf (>= 0.15.3), scales (>= 0.5.0),
stringr (>= 1.3.0), tibble (>= 1.4.2), tidyr (>= 0.8.0),
viridis (>= 0.5.0), visNetwork (>= 2.0.3)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
dials,C:/Users/pech/Documents/R/win-library/3.6,0.0.3,NA,"scales, R (>= 2.10)","glue, purrr, tibble, rlang, utils, withr, DiceDesign, dplyr",NA,"testthat, knitr, rpart, covr, kernlab, xml2",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
DiceDesign,C:/Users/pech/Documents/R/win-library/3.6,1.8-1,NA,R (>= 2.10),NA,NA,"rgl, randtoolbox, lattice",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
dichromat,C:/Users/pech/Documents/R/win-library/3.6,2.0-0,NA,"R (>= 2.10), stats",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.0
diffobj,C:/Users/pech/Documents/R/win-library/3.6,0.2.3,NA,R (>= 3.1.0),"crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown, testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
digest,C:/Users/pech/Documents/R/win-library/3.6,0.6.21,NA,R (>= 3.1.0),NA,NA,"tinytest, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
dimRed,C:/Users/pech/Documents/R/win-library/3.6,0.2.3,NA,"R (>= 3.0.0), DRR","magrittr, methods",NA,"NMF, MASS, Matrix, RANN, RSpectra, Rtsne, cccd, coRanking,
diffusionMap, energy, fastICA, ggplot2, graphics, igraph,
keras, kernlab, knitr, lle, loe, optimx, pcaL1, pcaPP,
reticulate, rgl, scales, scatterplot3d, stats, tensorflow,
testthat, tidyr, tinytex, umap, vegan",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
diptest,C:/Users/pech/Documents/R/win-library/3.6,0.75-7,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
doParallel,C:/Users/pech/Documents/R/win-library/3.6,1.0.15,NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit",compiler,GPL-2,NA,NA,NA,NA,no,3.6.1
dotCall64,C:/Users/pech/Documents/R/win-library/3.6,1.0-0,NA,R (>= 3.1),NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
downloader,C:/Users/pech/Documents/R/win-library/3.6,0.4,NA,NA,"utils, digest",NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
dplyr,C:/Users/pech/Documents/R/win-library/3.6,0.8.3,NA,R (>= 3.2.0),"assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>= 1.5),
methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>= 0.4.0),
tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr,
ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv,
microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL,
RSQLite, testthat, withr, broom, purrr, readr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
drake,C:/Users/pech/Documents/R/win-library/3.6,7.7.0,NA,R (>= 3.3.0),"base64url, digest, igraph, methods, rlang (>= 0.2.0), storr
(>= 1.1.0), txtq (>= 0.1.3), utils",NA,"abind, bindr, callr, cli (>= 1.1.0), clustermq (>= 0.8.8),
crayon, curl (>= 2.7), data.table, datasets, disk.frame,
downloader, fst, future, ggplot2, ggraph, grDevices, keras,
knitr, lubridate, networkD3, parallel, prettycode, Rcpp,
rmarkdown, rstudioapi, stats, styler, testthat (>= 2.1.0),
tibble, tidyselect (>= 0.2.4), txtplot, usethis, visNetwork,
webshot",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
DRR,C:/Users/pech/Documents/R/win-library/3.6,0.0.3,NA,"kernlab, CVST, Matrix","stats, methods",NA,"knitr, rmarkdown",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
DT,C:/Users/pech/Documents/R/win-library/3.6,0.9,NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.1.0)",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
dtplyr,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,R (>= 3.2),"crayon, data.table (>= 1.9.6), dplyr (>= 0.8.1), rlang,
tibble, tidyselect",NA,"bench, covr, knitr, rmarkdown, testthat (>= 2.1.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
dygraphs,C:/Users/pech/Documents/R/win-library/3.6,1.1.1.6,NA,R (>= 3.0),"magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)",NA,testthat,"rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)",MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
dynlm,C:/Users/pech/Documents/R/win-library/3.6,0.3-6,NA,"R (>= 2.10.0), zoo","stats, car (>= 2.0-0), lmtest",NA,"datasets, sandwich, strucchange, TSA",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
e1071,C:/Users/pech/Documents/R/win-library/3.6,1.7-3,NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
earth,C:/Users/pech/Documents/R/win-library/3.6,5.1.2,NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotmo (>= 3.5.4),
TeachingDemos (>= 2.10)",NA,NA,"gam (>= 1.16), mgcv (>= 1.8-26), mda (>= 0.4-10), MASS (>=
7.3-51)",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
effects,C:/Users/pech/Documents/R/win-library/3.6,4.1-2,NA,"R (>= 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices,
stats, survey, utils, estimability",NA,"pbkrtest (>= 0.4-4), nlme, MASS, poLCA, heplots, splines,
ordinal, car, knitr, betareg, alr4",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
effsize,C:/Users/pech/Documents/R/win-library/3.6,0.7.6,NA,NA,NA,NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
egg,C:/Users/pech/Documents/R/win-library/3.6,0.4.5,NA,"gridExtra (>= 2.3), ggplot2","gtable, grid, grDevices, utils",NA,"knitr, png",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
elasticnet,C:/Users/pech/Documents/R/win-library/3.6,1.1.1,NA,"R (>= 2.10), lars",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
ellipse,C:/Users/pech/Documents/R/win-library/3.6,0.4.1,NA,"R (>= 2.0.0),graphics,stats",NA,NA,MASS,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ellipsis,C:/Users/pech/Documents/R/win-library/3.6,0.3.0,NA,R (>= 3.2),rlang (>= 0.3.0),NA,"covr, testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
elliptic,C:/Users/pech/Documents/R/win-library/3.6,1.4-0,NA,R (>= 2.5.0),MASS,NA,"emulator, calibrator (>= 1.2-8)",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
emmeans,C:/Users/pech/Documents/R/win-library/3.6,1.4.1,NA,R (>= 3.2),"estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, biglm, brms, car, coda (>= 0.17), ggplot2,
lattice, mediation, mgcv, multcomp, multcompView, nlme, ordinal
(>= 2014.11-12), pbkrtest (>= 0.4-1), lme4, lmerTest (>=
2.0.32), MASS, MuMIn, rsm, knitr, rmarkdown, scales, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival",GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.1
emojifont,C:/Users/pech/Documents/R/win-library/3.6,0.5.2,NA,R (>= 3.4.0),"ggplot2, proto, showtext, sysfonts, utils",NA,"colorspace, knitr, prettydoc",NA,Artistic-2.0,NA,NA,NA,NA,no,3.6.1
enc,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,R (>= 3.1),methods,NA,"digest, pillar, readr, rlang, testthat, withr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
epubr,C:/Users/pech/Documents/R/win-library/3.6,0.6.0,NA,NA,"xml2, xslt, magrittr, dplyr, tidyr",NA,"testthat, knitr, rmarkdown, lintr, covr, readr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
estimability,C:/Users/pech/Documents/R/win-library/3.6,1.3,NA,stats,NA,NA,NA,NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.0
eurostat,C:/Users/pech/Documents/R/win-library/3.6,3.3.55,NA,"methods, R (>= 3.1.0)","broom, classInt, countrycode, dplyr, httr, jsonlite,
RColorBrewer, readr, RefManageR, sf, sp, stringi, stringr,
tibble, tidyr",NA,"Cairo, ggplot2, knitr, lubridate, mapproj, plotrix,
rmarkdown, roxygen2, rsdmx, rvest, testthat, tmap, usethis",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,no,3.6.1
evaluate,C:/Users/pech/Documents/R/win-library/3.6,0.14,NA,R (>= 3.0.2),methods,NA,"testthat, lattice, ggplot2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
exifr,C:/Users/pech/Documents/R/win-library/3.6,0.3.1,NA,NA,"curl, plyr, tibble, jsonlite, utils, rappdirs",NA,"testthat, covr",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
extrafont,C:/Users/pech/Documents/R/win-library/3.6,0.17,NA,R (>= 2.15),"extrafontdb, grDevices, utils, Rttf2pt1",NA,fontcm,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
extrafontdb,C:/Users/pech/Documents/R/win-library/3.6,1.0,NA,R (>= 2.14),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,NA,3.6.0
factoextra,C:/Users/pech/Documents/R/win-library/3.6,1.0.5,NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
FactoMineR,C:/Users/pech/Documents/R/win-library/3.6,1.42,NA,R (>= 3.0.0),"car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils",NA,"missMDA,knitr",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
fansi,C:/Users/pech/Documents/R/win-library/3.6,0.4.0,NA,R (>= 3.1.0),NA,NA,"unitizer, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
farver,C:/Users/pech/Documents/R/win-library/3.6,2.0.1,NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
fastGHQuad,C:/Users/pech/Documents/R/win-library/3.6,1.0,NA,Rcpp (>= 0.11.0),NA,Rcpp,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
fastICA,C:/Users/pech/Documents/R/win-library/3.6,1.2-2,NA,R (>= 3.0.0),NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
fastmap,C:/Users/pech/Documents/R/win-library/3.6,1.0.1,NA,NA,NA,NA,testthat (>= 2.1.1),NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
fastmatch,C:/Users/pech/Documents/R/win-library/3.6,1.1-0,NA,NA,NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
fields,C:/Users/pech/Documents/R/win-library/3.6,10.0,NA,"R (>= 3.0), methods, spam, maps",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
filehash,C:/Users/pech/Documents/R/win-library/3.6,2.4-2,NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.0
filelock,C:/Users/pech/Documents/R/win-library/3.6,1.0.2,NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
fit.models,C:/Users/pech/Documents/R/win-library/3.6,0.5-14,NA,NA,"lattice, stats",NA,MASS,NA,GPL,NA,NA,NA,NA,no,3.6.1
fivethirtyeight,C:/Users/pech/Documents/R/win-library/3.6,0.5.0,NA,R (>= 3.2.4),NA,NA,"ggplot2, dplyr, tidyr, curl, readr, tibble, lubridate,
stringr, janitor, knitr, gridExtra, ggthemes, scales, broom,
magrittr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
flashClust,C:/Users/pech/Documents/R/win-library/3.6,1.01-2,NA,R (>= 2.3.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.0
flatxml,C:/Users/pech/Documents/R/win-library/3.6,0.0.2,NA,NA,"RCurl, xml2",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
flexmix,C:/Users/pech/Documents/R/win-library/3.6,2.3-15,NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
flextable,C:/Users/pech/Documents/R/win-library/3.6,0.5.5,NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.2.0),
rmarkdown, knitr, htmltools, xml2, data.table, gdtools (>=
0.1.6), rlang, base64enc",NA,"testthat, xtable, magrittr, webshot, magick, ggplot2",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
FNN,C:/Users/pech/Documents/R/win-library/3.6,1.1.3,NA,R (>= 3.0.0),NA,NA,"chemometrics, mvtnorm",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
foghorn,C:/Users/pech/Documents/R/win-library/3.6,1.1.4,NA,R (>= 3.1.0),"clisymbols (>= 1.0.0), crayon (>= 1.3.2), curl (>= 2.2), httr
(>= 1.2.1), jsonlite (>= 1.5), rvest (>= 0.3.2), tibble (>=
1.2), xml2 (>= 1.0.0)",NA,"covr, dplyr, knitr, progress, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
fontBitstreamVera,C:/Users/pech/Documents/R/win-library/3.6,0.1.1,NA,R (>= 3.0.0),NA,NA,NA,NA,file LICENCE,yes,NA,NA,NA,no,3.6.0
fontLiberation,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,R (>= 3.0),NA,NA,NA,NA,file LICENSE,NA,NA,NA,NA,no,3.6.0
fontquiver,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,R (>= 3.0.0),"fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
forcats,C:/Users/pech/Documents/R/win-library/3.6,0.4.0,NA,R (>= 3.1),"ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
foreach,C:/Users/pech/Documents/R/win-library/3.6,1.4.7,NA,R (>= 2.5.0),"codetools, utils, iterators",NA,randomForest,"compiler, doMC, RUnit, doParallel",Apache License (== 2.0),NA,NA,NA,NA,no,3.6.1
forecast,C:/Users/pech/Documents/R/win-library/3.6,8.9,NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","uroot, knitr, rmarkdown, rticles, testthat, methods",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
foreign,C:/Users/pech/Documents/R/win-library/3.6,0.8-72,recommended,R (>= 3.0.0),"methods, utils, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
forge,C:/Users/pech/Documents/R/win-library/3.6,0.2.0,NA,R (>= 3.1.2),"rlang (>= 0.3.1), magrittr",NA,"testthat, covr",NA,Apache License (>= 2.0),NA,NA,NA,NA,no,3.6.1
formatR,C:/Users/pech/Documents/R/win-library/3.6,1.7,NA,R (>= 3.0.2),NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,GPL,NA,NA,NA,NA,no,3.6.1
Formula,C:/Users/pech/Documents/R/win-library/3.6,1.2-3,NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.0
fpc,C:/Users/pech/Documents/R/win-library/3.6,2.2-3,NA,R (>= 2.0),"MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, EMMIXskew, mvtnorm",NA,GPL,NA,NA,NA,NA,no,3.6.1
fracdiff,C:/Users/pech/Documents/R/win-library/3.6,1.4-2,NA,NA,NA,NA,"longmemo, urca",NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
freetypeharfbuzz,C:/Users/pech/Documents/R/win-library/3.6,0.2.5,NA,R (>= 3.2),fontquiver,NA,"covr, testthat",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
fs,C:/Users/pech/Documents/R/win-library/3.6,1.3.1,NA,R (>= 3.1),"methods, Rcpp",Rcpp,"testthat, covr, pillar (>= 1.0.0), crayon, rmarkdown, knitr,
withr, spelling",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
furrr,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,"R (>= 3.2.0), future (>= 1.6.2)","globals (>= 0.10.3), rlang (>= 0.2.0), purrr (>= 0.2.4)",NA,"listenv (>= 0.6.0), dplyr (>= 0.7.4), testthat",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.1
futile.logger,C:/Users/pech/Documents/R/win-library/3.6,1.4.3,NA,R (>= 3.0.0),"utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,LGPL-3,NA,NA,NA,NA,no,3.6.1
futile.options,C:/Users/pech/Documents/R/win-library/3.6,1.0.1,NA,R (>= 2.8.0),NA,NA,NA,NA,LGPL-3,NA,NA,NA,NA,no,3.6.0
future,C:/Users/pech/Documents/R/win-library/3.6,1.14.0,NA,NA,"digest, globals (>= 0.12.4), listenv (>= 0.7.0), parallel,
utils",NA,"R.rsp, markdown",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.1
future.apply,C:/Users/pech/Documents/R/win-library/3.6,1.3.0,NA,"R (>= 3.2.0), future (>= 1.13.0)",globals (>= 0.12.4),NA,"datasets, stats, tools, listenv (>= 0.7.0), R.rsp, markdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gam,C:/Users/pech/Documents/R/win-library/3.6,1.16.1,NA,"stats, splines, foreach",NA,NA,akima,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
GAMBoost,C:/Users/pech/Documents/R/win-library/3.6,1.2-3,NA,"R (>= 2.14.0), Matrix",NA,NA,"parallel, snowfall",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
gameofthrones,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,R (>= 2.10),"ggplot2 (>= 1.0.1), gridExtra, MASS",NA,"hexbin (>= 1.27.0), testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gamlss,C:/Users/pech/Documents/R/win-library/3.6,5.1-5,NA,"R (>= 3.3.0), graphics, stats, splines, utils, grDevices,
gamlss.data (>= 5.0-0), gamlss.dist (>= 4.3.1), nlme, parallel","MASS, survival, methods",NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
gamlss.data,C:/Users/pech/Documents/R/win-library/3.6,5.1-4,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.6.0
gamlss.dist,C:/Users/pech/Documents/R/win-library/3.6,5.1-5,NA,"R (>= 2.15.0), MASS, graphics, stats, methods, grDevices",NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
gapminder,C:/Users/pech/Documents/R/win-library/3.6,0.3.0,NA,R (>= 3.1.0),tibble,NA,"dplyr, ggplot2, testthat",NA,CC0,NA,NA,NA,NA,no,3.6.1
gargle,C:/Users/pech/Documents/R/win-library/3.6,0.4.0,NA,R (>= 3.2),"fs (>= 1.3.1), glue (>= 1.3.0), httr (>= 1.4.0), jsonlite,
rlang (>= 0.4.0), stats, withr",NA,"covr, knitr, rmarkdown, sodium, testthat (>= 2.1.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gbm,C:/Users/pech/Documents/R/win-library/3.6,2.1.5,NA,R (>= 2.9.0),"gridExtra, lattice, parallel, survival",NA,"knitr, pdp, RUnit, splines, viridis",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
gclus,C:/Users/pech/Documents/R/win-library/3.6,1.3.2,NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gdalUtils,C:/Users/pech/Documents/R/win-library/3.6,2.0.1.14,NA,R (>= 2.14.0),"sp, foreach, R.utils, raster, rgdal",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gdata,C:/Users/pech/Documents/R/win-library/3.6,2.18.0,NA,R (>= 2.3.0),"gtools, stats, methods, utils",NA,RUnit,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
gdtools,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)",Rcpp,"htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
generics,C:/Users/pech/Documents/R/win-library/3.6,0.0.2,NA,R (>= 3.1),methods,NA,"covr, pkgload, testthat, tibble",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
